cfs_code,cfs_lon,cfs_lat
01142,845269.9897471223,1205019.1421642012
01380,769713.315202403,885648.6140535495
0199999,859461.8013811853,1123718.8115117212
0438060,-1481686.7716122833,1249664.918173025
0446060,-1476198.0193898648,1125777.6920616108
0499999,-1409822.6344101413,1406241.3899135457
0599999,322334.21099498414,1321049.7468896282
06348,-1860217.9630801964,1473238.5186342879
0641740,-1909553.2688008505,1316242.5747351486
06472,-2127642.111526,2047026.160125157
06488,-2244563.9861302,1941795.2858991763
0699999,-2085691.4601657859,1936302.3225969987
08216,-743041.5705250199,1900374.1686288114
0899999,-828704.7509787696,1803357.0062836835
09278,1925897.384577346,2323953.716795676
09408,1870165.81159266,2283973.3996532396
0999999,1959619.8665293732,2301184.0231785546
1099999,1745647.4769067666,1962793.4271028866
1147900,1620146.4988764725,1926587.3359588191
1227260,1360453.871480342,897499.8237438557
1233100,1555676.3522769217,471657.9829443324
12422,1425479.4852734506,731264.7965356008
1245300,1334912.1522906402,660582.804281919
1299999,1270331.2024319929,730160.2688835
13122,1060239.8335588726,1243282.5882412936
13496,1365692.673513942,1096433.6088925821
1399999,1182037.5884455377,1120663.9786709112
1699999,-1470716.4480401543,2517453.0853511305
17176,644880.157747396,2109569.585022761
17476,521693.4773471361,1772932.947894421
1799999,570967.4813690882,1900109.793108116
18176,737124.6965017054,2066199.4590714187
18294,835239.0389917875,1896673.6330517728
1899999,827068.4631380993,1908258.05519881
1999999,205744.3854069519,2121863.8473061393
20312,85933.60951427933,1751674.1709113077
2099999,-217713.6245952503,1719331.062035344
21350,901770.3753566212,1714013.1892324765
2199999,937602.2022976507,1658436.4032461748
22132,466694.8347207637,838747.644172342
22324,272327.9276046046,780613.2204012786
22406,585504.7548752622,791975.827052875
2299999,352329.9116670683,928510.7278178815
2399999,2068713.0927273163,2778500.0038201017
2412580,1647307.3946917863,1981555.2462317643
2447900,1613533.2076265116,1933644.5028754878
2499999,1646666.5852966167,1930981.133468758
25148,1995825.7179868715,2400810.960544691
2599999,1918241.076605832,2376833.249182114
26220,1025352.345968852,2248398.176121096
26266,834638.8151434386,2268659.9410516866
2699999,820564.6817744466,2453127.64506813
27378,188126.10608905077,2457583.829147119
2799999,124401.10690389422,2603598.7823441867
2899999,589590.2920015279,1093617.0699988138
29312,155407.14073072682,1776075.2050347952
29476,450108.3006012951,1725865.6015124542
2999999,309299.43429741106,1700195.2649219132
3099999,-1037509.214966904,2746989.881573251
3199999,-314240.5802200446,2065208.2149258722
32332,-1740375.9444280695,1788390.7871088353
3299999,-1750962.8470681,2068926.3002216197
3399999,1939211.887798745,2549037.5415993673
34408,1793356.0607348296,2152354.130887192
34428,1772379.1008815584,2048767.732517025
3499999,1785106.090100472,2064657.7067048026
3599999,-920665.388683542,1309792.709344663
36104,1777138.6457102753,2425123.404673397
36160,1402186.2533183906,2306950.2175967125
36408,1830309.8021530167,2251634.3078665943
36464,1485857.1963519645,2365501.42364202
3699999,1636174.7010609407,2425714.55049647
37172,1369976.170769671,1475085.9572819984
37268,1414173.4398326948,1567503.4191080974
37450,1535079.9147619007,1555743.9938894042
3799999,1508515.909202779,1513797.751468366
3899999,-338811.51796320133,2724951.2238206496
39178,1008020.952547196,1863916.4173468514
39184,1205386.9626603033,2134519.5142519614
39198,1100501.9101324484,1962129.117621246
39212,996571.4483290385,1940943.4691799458
3999999,1122160.0341653524,2005470.62758334
40416,-129265.38495758548,1372710.0040935208
40538,-13256.052603242404,1469887.6628835388
4099999,-149405.17836595204,1386935.0441761205
4138900,-2061495.814282226,2782672.610672488
4199999,-1937243.8371652008,2569287.6385418437
42428,1711615.2299271477,2095093.3015067817
42430,1350090.3214611178,2054864.9011344553
4299999,1520634.3663441138,2145251.830153367
4439300,1998332.9605861106,2333090.4812079803
4516700,1474153.8320687078,1231913.3054027453
45273,1240342.419590964,1389728.5018773526
4599999,1401679.8442717057,1307794.3506748234
4699999,-335518.10431094456,2390919.8646286586
4732820,568801.8471461406,1375263.4951671835
47400,826271.6018482454,1489046.020350437
4799999,886017.3636328926,1467787.645268174
4812420,-158939.94523210713,799858.582410359
4813140,172555.44555296918,782214.3102372125
48204,-160682.09856194386,490249.61709464533
48206,-87611.66998281254,1096917.2083656464
4821340,-963398.9553017792,1017932.7157760629
48288,51965.0268015463,747152.7310128756
4829700,-329669.5377962152,527370.51220434
4841700,-252469.4681311152,709466.8387291405
4899999,-359062.3952592572,965930.535684075
49482,-1381090.7024665424,2111215.5897829146
4999999,-1318160.7044832092,1860817.2185673453
5099999,1844209.9476964509,2569544.0701882853
5140060,1607336.0045755957,1766163.1567079187
5147260,1706156.0854504397,1722381.9080337933
51548,1561879.5254676663,1898963.5072216217
5199999,1445038.26098727,1721234.2412044078
53500,-1948783.0080829621,3010084.498569933
5399999,-1817606.506498396,2936211.323217678
5499999,1320062.4887814908,1841675.5664408694
55376,634773.6002827584,2259688.2167589855
5599999,469827.00820426666,2424138.342777618
5699999,-934493.7924652545,2278763.634803301
