cz_code,cz_lon,cz_lat
001,550565.2188853172,1361044.3597069562
002,449656.82879935583,1730421.3085503338
003,-1614906.4270266767,2106093.363860436
004,-24013.128814289626,2169838.942618954
005,-743041.5705250199,1900374.1686288114
006,-346553.92339736846,2398350.2313385154
007,-524836.2375477622,1380561.79030743
008,1093348.3152835628,1005475.4914977135
009,50139.53683483137,733083.5769280923
010,1130675.3517796332,1963601.143390921
011,-70336.5468982991,2281877.9091742355
012,140334.72073112047,2530386.3317049635
013,571644.3243053562,2688107.860730701
014,1616358.1465729044,1755216.1019268653
015,169825.02126874318,2072727.1610910567
016,478258.1036597899,843472.0416472794
017,-967327.6298772667,1342725.9655859014
018,-1745932.4259749583,2803088.9163277233
019,1210321.634154944,956207.498378467
020,988164.280330576,1041531.3589361409
021,855206.2586069149,1189962.3794691723
022,1017252.307624533,1114568.4174321436
023,239415.2263243007,1019391.5185753875
024,-5903.8011950040145,2034987.0042019277
025,840351.9693079031,1902963.5971645147
026,886364.5363643983,1744565.4553502626
027,-168966.78816275546,819925.5885579565
028,-153017.13951386785,1378237.2310787458
029,142853.00474103488,1194319.094429247
030,1282244.8736492794,1239756.179447055
031,1526576.8256409334,1816028.1519025506
032,1382302.8348884564,1689858.2135376118
033,-63052.39138277841,2639926.9729724494
034,612416.8682622162,933629.1432575653
035,-197636.90310431804,904221.0538045176
036,1638351.8485227674,1984941.6824405014
037,-630367.7332043776,1495735.0390406002
038,995927.0143974002,1946105.9985676836
039,1697606.1591467105,1713302.2364485213
040,-16863.671196406678,1474909.6330032528
041,1169644.794362281,1288075.296764564
042,-33907.98334796182,1068197.2868799516
043,-403102.0744030467,2681039.331442219
044,255417.79714280774,1607609.456562569
045,541045.1879285501,1043471.903654531
046,-1523334.8464317485,2725780.1472714515
047,223566.83421836264,2453167.06578377
048,-1811095.2375736171,2990543.186002896
049,166846.76133799466,1360257.7551440562
050,757962.5377074481,1717243.6858242915
051,1464483.326427856,1721279.0771424784
052,-1608258.558721268,2401631.0832930054
053,947054.8610487189,2261670.5612393394
054,844074.59061262,1501259.6611383054
055,98399.27471532473,1899641.0348198023
056,585504.7548752622,791975.827052875
057,-107116.70290895252,2129476.9549506777
058,638174.4007642537,2135898.1616790863
059,1242256.550367138,1807930.4608162746
060,903061.5664778932,1032432.5664400784
061,1348659.7772620728,1086670.2761231011
062,1095914.1047431673,876642.9395369187
063,784888.6505695472,1645944.8966871528
064,1353623.9264148094,900983.5850677259
065,1052144.933630463,1496124.1418275943
066,542929.6123210542,1850060.3921500635
067,1134408.0051536348,1147337.4763353658
068,-245969.73043808015,1188842.1435296405
069,-252469.4681311152,709466.8387291405
070,609381.0314170113,2271365.6864366927
071,323565.1312392018,1312400.6647275258
072,995943.8112057553,1745524.4358269714
073,2009307.4194256307,2340872.617425187
074,1601743.133156163,1907003.2683585868
075,1422547.4819535455,708798.2613863202
076,2001499.5777977225,2403139.2716582045
077,1035717.34538737,2130904.186728518
078,1905824.5978600467,2303001.114578134
079,1084823.901713562,1078421.1279505205
080,-1933074.9989006722,2086340.5463168523
081,1246999.1585206988,1902098.597877778
082,-117974.19529301547,1634692.2545779354
083,137497.7638959477,2356025.086781222
084,1378181.1534779342,1333289.727242987
085,400657.8488134973,1866476.4899443993
